dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
4,4,12,0,0.00566329,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00108,0,1,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,1,0.123864,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,2,0.203152,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99169,0,1,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,3,0.211687,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01132,1,0,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,4,0.229122,14,14,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00952,1,0,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,5,0.236636,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99445,0,1,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,6,0.273304,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99597,1,0,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,7,0.309485,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99869,0,1,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,8,0.383525,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00028,0,1,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,9,0.39728,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99605,0,1,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,10,0.425465,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99597,1,0,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,11,0.563083,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99827,0,1,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,12,0.603575,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99392,1,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,13,0.614588,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,14,0.636314,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00129,1,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,15,0.64435,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,16,0.650038,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,17,0.684426,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0.000113492,-0.00729268,0.0023195,-0.00277015,0
4,4,12,18,0.760723,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,19,0.909112,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99962,0,1,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,20,0.945063,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99355,0,1,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,21,0.955487,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00473,0,1,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,22,0.96666,4,4,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99448,0,1,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,23,0.967478,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,24,0.980139,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98632,1,0,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,25,4.00566,0,0,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.00108,1,1,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,26,4.12386,19,19,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5,0,1,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,27,4.20315,21,21,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.99169,0,1,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,28,4.21169,9,9,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.01132,1,0,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,29,4.22912,14,14,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.00952,1,0,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,30,4.23664,24,24,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.99445,0,1,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,31,4.2733,15,15,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.99597,1,0,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,32,4.30948,2,2,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.99869,0,2,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,33,4.38352,12,12,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.00028,0,1,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,34,4.39728,22,22,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.99605,0,0,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,35,4.42547,20,20,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.99597,2,0,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,36,4.56308,11,11,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.99827,0,1,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,37,4.60358,17,17,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.99392,1,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,38,4.61459,8,8,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5,1,1,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,39,4.63631,23,23,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.00129,2,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,40,4.64435,1,1,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5,2,0,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,41,4.65004,6,6,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5,0,1,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,42,4.68443,10,10,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5,1,1,1,0.000113492,-0.00729268,0.0023195,-0.00277015,0
4,4,12,43,4.76072,16,16,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5,1,1,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,44,4.90911,18,18,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.99962,1,1,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,45,4.94506,13,13,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.99355,0,1,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,46,4.95549,7,7,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.00473,1,1,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,47,4.96666,4,4,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.99448,0,1,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,48,4.96748,3,3,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5,2,0,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,49,4.98014,5,5,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.98632,1,0,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,50,8.00566,0,0,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5.00108,1,2,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,51,8.12386,19,19,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5,0,1,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,52,8.20315,21,21,-1,-1,1,-1,0,1,2,1,0,1,0,1,-1,-4.99169,1,1,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,53,8.21169,9,9,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-5.01132,1,1,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,54,8.22912,14,14,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.00952,1,0,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,55,8.23664,24,24,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.99445,0,1,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,56,8.2733,15,15,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-4.99597,2,0,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,57,8.30948,2,2,-1,-1,1,-1,1,1,2,0,0,2,0,1,-1,-4.99869,0,2,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,58,8.38352,12,12,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-5.00028,0,1,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,59,8.39728,22,22,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.99605,0,1,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,60,8.42547,20,20,-1,-1,1,-1,0,0,2,0,2,2,0,1,-1,-4.99597,3,0,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,61,8.56308,11,11,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.99827,0,2,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,62,8.60358,17,17,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-4.99392,1,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,63,8.61459,8,8,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5,1,2,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,64,8.63631,23,23,-1,-1,1,-1,1,1,2,0,2,2,0,1,-1,-5.00129,2,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,65,8.64435,1,1,-1,-1,1,-1,1,0,2,0,2,2,0,1,-1,-5,1,0,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,66,8.65004,6,6,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-5,1,1,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,67,8.68443,10,10,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5,1,1,1,0.000113492,-0.00729268,0.0023195,-0.00277015,0
4,4,12,68,8.76072,16,16,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5,1,2,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,69,8.90911,18,18,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-4.99962,0,1,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,70,8.94506,13,13,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.99355,0,1,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,71,8.95549,7,7,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5.00473,1,2,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,72,8.96666,4,4,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.99448,0,0,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,73,8.96748,3,3,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-5,2,1,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,74,8.98014,5,5,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-4.98632,2,0,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,75,12.0057,0,0,-1,-1,1,-1,0,0,3,0,1,3,0,1,-1,-5.00108,2,2,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,76,12.1239,19,19,-1,-1,1,-1,1,1,3,2,0,1,0,1,-1,-5,0,1,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,77,12.2032,21,21,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-4.99169,1,1,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,78,12.2117,9,9,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-5.01132,1,1,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,79,12.2291,14,14,-1,-1,1,-1,1,0,3,2,1,1,0,1,-1,-5.00952,0,0,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,80,12.2366,24,24,-1,-1,1,-1,1,0,3,2,0,1,0,1,-1,-4.99445,0,1,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,81,12.2733,15,15,-1,-1,1,-1,1,0,3,1,2,2,0,1,-1,-4.99597,2,0,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,82,12.3095,2,2,-1,-1,1,-1,1,1,3,1,0,2,0,1,-1,-4.99869,0,1,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,83,12.3835,12,12,-1,-1,1,-1,0,0,3,2,0,1,0,1,-1,-5.00028,0,2,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,84,12.3973,22,22,-1,-1,1,-1,0,1,3,1,0,2,0,1,-1,-4.99605,1,1,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,85,12.4255,20,20,-1,-1,1,-1,0,0,3,0,3,3,0,1,-1,-4.99597,3,1,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,86,12.5631,11,11,-1,-1,1,-1,0,0,3,1,0,2,0,1,-1,-4.99827,0,3,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,87,12.6036,17,17,-1,-1,1,-1,1,1,3,2,1,1,0,1,-1,-4.99392,1,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,88,12.6146,8,8,-1,-1,1,-1,1,1,3,0,1,3,0,1,-1,-5,1,2,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,89,12.6363,23,23,-1,-1,1,-1,1,1,3,1,2,2,0,1,-1,-5.00129,2,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,90,12.6443,1,1,-1,-1,1,-1,0,0,3,1,2,2,0,1,-1,-5,1,1,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,91,12.65,6,6,-1,-1,1,-1,0,0,3,1,1,2,0,1,-1,-5,2,1,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,92,12.6844,10,10,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-5,1,1,1,0.000113492,-0.00729268,0.0023195,-0.00277015,0
4,4,12,93,12.7607,16,16,-1,-1,1,-1,1,1,3,0,1,3,0,1,-1,-5,1,2,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,94,12.9091,18,18,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-4.99962,0,1,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,95,12.9451,13,13,-1,-1,1,-1,0,0,3,2,0,1,0,1,-1,-4.99355,1,1,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,96,12.9555,7,7,-1,-1,1,-1,0,1,3,0,1,3,0,1,-1,-5.00473,1,3,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,97,12.9667,4,4,-1,-1,1,-1,0,1,3,2,0,1,0,1,-1,-4.99448,1,0,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,98,12.9675,3,3,-1,-1,1,-1,1,0,3,0,2,3,0,1,-1,-5,2,1,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,99,12.9801,5,5,-1,-1,1,-1,0,0,3,1,2,2,0,1,-1,-4.98632,3,0,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,100,16.0057,0,0,-1,-1,1,-1,0,1,4,0,2,4,0,1,-1,-5.00108,3,2,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,101,16.1239,19,19,-1,-1,1,-1,1,1,4,3,0,1,0,1,-1,-5,0,0,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,102,16.2032,21,21,-1,-1,1,-1,0,0,4,2,1,2,0,1,-1,-4.99169,2,1,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,103,16.2117,9,9,-1,-1,1,-1,1,0,4,2,1,2,0,1,-1,-5.01132,0,1,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,104,16.2291,14,14,-1,-1,1,-1,0,1,4,3,1,1,0,1,-1,-5.00952,0,1,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,105,16.2366,24,24,-1,-1,1,-1,0,1,4,3,0,1,0,1,-1,-4.99445,0,2,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,106,16.2733,15,15,-1,-1,1,-1,0,0,4,2,2,2,0,1,-1,-4.99597,2,1,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,107,16.3095,2,2,-1,-1,1,-1,1,1,4,2,0,2,0,1,-1,-4.99869,0,1,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,108,16.3835,12,12,-1,-1,1,-1,0,1,4,2,0,2,0,1,-1,-5.00028,0,3,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,109,16.3973,22,22,-1,-1,1,-1,1,0,4,1,1,3,0,1,-1,-4.99605,1,1,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,110,16.4255,20,20,-1,-1,1,-1,0,1,4,0,3,4,0,1,-1,-4.99597,4,1,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,111,16.5631,11,11,-1,-1,1,-1,0,1,4,1,0,3,0,1,-1,-4.99827,0,4,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,112,16.6036,17,17,-1,-1,1,-1,1,1,4,3,1,1,0,1,-1,-4.99392,0,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,113,16.6146,8,8,-1,-1,1,-1,1,1,4,1,1,3,0,1,-1,-5,1,2,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,114,16.6363,23,23,-1,-1,1,-1,1,1,4,2,2,2,0,1,-1,-5.00129,2,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,115,16.6443,1,1,-1,-1,1,-1,0,1,4,1,2,3,0,1,-1,-5,2,1,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,116,16.65,6,6,-1,-1,1,-1,0,0,4,1,2,3,0,1,-1,-5,2,2,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,117,16.6844,10,10,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-5,2,1,1,0.000113492,-0.00729268,0.0023195,-0.00277015,0
4,4,12,118,16.7607,16,16,-1,-1,1,-1,1,0,4,1,1,3,0,1,-1,-5,0,1,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,119,16.9091,18,18,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-4.99962,0,2,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,120,16.9451,13,13,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-4.99355,1,2,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,121,16.9555,7,7,-1,-1,1,-1,1,0,4,0,1,4,0,1,-1,-5.00473,1,3,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,122,16.9667,4,4,-1,-1,1,-1,1,0,4,2,1,2,0,1,-1,-4.99448,1,0,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,123,16.9675,3,3,-1,-1,1,-1,0,0,4,1,2,3,0,1,-1,-5,2,2,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,124,16.9801,5,5,-1,-1,1,-1,0,0,4,1,3,3,0,1,-1,-4.98632,4,0,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,125,20.0057,0,0,-1,-1,1,-1,1,0,5,0,3,5,0,1,-1,-5.00108,3,2,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,126,20.1239,19,19,-1,-1,1,-1,1,1,5,4,0,1,0,1,-1,-5,0,0,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,127,20.2032,21,21,-1,-1,1,-1,0,1,5,2,2,3,0,1,-1,-4.99169,2,2,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,128,20.2117,9,9,-1,-1,1,-1,0,0,5,3,1,2,0,1,-1,-5.01132,0,2,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,129,20.2291,14,14,-1,-1,1,-1,1,0,5,3,1,2,0,1,-1,-5.00952,0,0,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,130,20.2366,24,24,-1,-1,1,-1,1,0,5,3,0,2,0,1,-1,-4.99445,0,2,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,131,20.2733,15,15,-1,-1,1,-1,0,0,5,2,2,3,0,1,-1,-4.99597,3,1,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,132,20.3095,2,2,-1,-1,1,-1,1,0,5,3,0,2,0,1,-1,-4.99869,0,0,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,133,20.3835,12,12,-1,-1,1,-1,1,1,5,2,0,3,0,1,-1,-5.00028,0,3,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
4,4,12,134,20.3973,22,22,-1,-1,1,-1,0,0,5,2,1,3,0,1,-1,-4.99605,1,2,1,-0.00230498,0,0.00523711,0.00143045,0
4,4,12,135,20.4255,20,20,-1,-1,1,-1,1,1,5,0,4,5,0,1,-1,-4.99597,4,1,1,-0.0078388,-0.0058911,0,-0.00426949,0.00315532
4,4,12,136,20.5631,11,11,-1,-1,1,-1,1,0,5,1,0,4,0,1,-1,-4.99827,0,4,1,-0.000303037,0.00962287,-0.00101898,0.0016822,0.00101728
4,4,12,137,20.6036,17,17,-1,-1,1,-1,1,0,5,4,1,1,0,1,-1,-4.99392,0,0,1,0.00159101,-0.00895722,0.0210966,0,0.000592674
4,4,12,138,20.6146,8,8,-1,-1,1,-1,1,0,5,2,1,3,0,1,-1,-5,0,2,1,0.00123307,0.00208473,0.00958226,-0.00357587,-0.000111179
4,4,12,139,20.6363,23,23,-1,-1,1,-1,1,0,5,3,2,2,0,1,-1,-5.00129,1,0,1,0.00341646,-0.00280162,0.00258344,-0.00264288,-0.00628758
4,4,12,140,20.6443,1,1,-1,-1,1,-1,1,0,5,1,3,4,0,1,-1,-5,2,1,1,-2.10585e-05,0.00367133,0,-0.00448338,0.00221888
4,4,12,141,20.65,6,6,-1,-1,1,-1,0,1,5,1,2,4,0,1,-1,-5,2,3,1,-0.00140083,-0.00745091,-0.00469628,0.00145249,0.0120713
4,4,12,142,20.7607,16,16,-1,-1,1,-1,0,1,5,2,1,3,0,1,-1,-5,1,1,1,0.00159101,0,0.00975997,-0.00458192,0.000946836
4,4,12,143,20.9091,18,18,-1,-1,1,-1,1,0,5,2,1,3,0,1,-1,-4.99962,0,2,1,-0.00414428,0.00303971,0.0113682,-0.000805815,0
4,4,12,144,20.9451,13,13,-1,-1,1,-1,1,1,5,2,1,3,0,1,-1,-4.99355,1,2,1,0.00103957,0,-0.00538194,-0.000160552,0.00106663
4,4,12,145,20.9555,7,7,-1,-1,1,-1,0,1,5,1,1,4,0,1,-1,-5.00473,2,3,1,0.000379108,-0.0167423,0.00488369,-0.00103042,-0.005771
4,4,12,146,20.9667,4,4,-1,-1,1,-1,0,1,5,3,1,2,0,1,-1,-4.99448,1,1,1,0.00234376,0.00115793,0.0107371,0.00652386,0
4,4,12,147,20.9675,3,3,-1,-1,1,-1,0,1,5,1,2,4,0,1,-1,-5,2,3,1,0.00302986,0.000115172,0,-0.00752772,0
4,4,12,148,20.9801,5,5,-1,-1,1,-1,0,0,5,1,4,4,0,1,-1,-4.98632,4,1,1,-0.0192849,-0.00930083,0.0050133,-0.00491407,-0.00505934
4,4,12,149,24.0057,0,0,-1,-1,1,-1,0,0,6,1,3,5,0,1,-1,-5.00108,4,2,1,0.00617957,-0.00262976,0.0110188,0.00637722,0.00667201
4,4,12,150,24.1239,19,19,-1,-1,1,-1,1,0,6,5,0,1,0,1,-1,-5,0,0,1,-0.00735059,-0.00831752,0,0.00252963,0
4,4,12,151,24.2032,21,21,-1,-1,1,-1,1,1,6,2,2,4,0,1,-1,-4.99169,2,2,1,0.00765647,0.000215543,-0.00950448,0.00159454,0.0060073
4,4,12,152,24.2117,9,9,-1,-1,1,-1,0,1,6,3,1,3,0,1,-1,-5.01132,1,2,1,0.00253949,0.0043402,0.00619605,0.00417047,0
4,4,12,153,24.2291,14,14,-1,-1,1,-1,0,1,6,4,1,2,0,1,-1,-5.00952,0,1,1,0.00685053,-0.00500492,-0.00397003,0.00365266,0.0003889
4,4,12,154,24.2366,24,24,-1,-1,1,-1,0,0,6,4,0,2,0,1,-1,-4.99445,1,2,1,0.00982727,-0.0106589,0.00994821,0.000615169,-0.0119162
4,4,12,155,24.2733,15,15,-1,-1,1,-1,0,1,6,2,3,4,0,1,-1,-4.99597,3,2,1,0.00375111,-0.0058911,0,0.00182718,-0.0137474
4,4,12,156,24.3095,2,2,-1,-1,1,-1,0,1,6,4,0,2,0,1,-1,-4.99869,0,1,1,0.0239888,0.00838691,-0.000211595,-0.00676415,0.00189367
4,4,12,157,24.3835,12,12,-1,-1,1,-1,1,1,6,3,0,3,0,1,-1,-5.00028,0,2,1,-0.00577899,-0.0117148,0.00247118,-0.0108943,-0.00824137
